year,region,country,migration,gdp,unemp,inf,pop
2000,1,Austria,65954,197377,11.8,4.5,8.01
2001,1,Austria,74786,197510,10.9,4.4,8.04
2002,1,Austria,86144,214243,10,3,8.08
2003,1,Austria,93341,262208,9.2,2.7,8.12
2004,1,Austria,104246,301321,8,2.3,8.17
2005,1,Austria,97995,316267,7.3,2.7,8.23
2006,1,Austria,82899,336298,6.6,3.6,8.27
2007,1,Austria,91546,389231,6.3,2.4,8.3
2008,1,Austria,94368,432005,5.9,4.3,8.32
2009,1,Austria,91660,401323,5.7,1.8,8.34
2010,1,Austria,96896,392595,5.6,2.9,8.36
2011,1,Austria,109921,431609,5.4,3.4,8.39
2012,1,Austria,125605,409661,5.2,1.7,8.43
2013,1,Austria,135228,430197,5,2.5,8.48
2014,1,Austria,154260,442699,4.9,2.5,8.54
2015,1,Austria,198658,382010,5,1.5,8.63
2016,1,Austria,158746,395728,5,1.3,8.74
2017,1,Austria,139329,417114,5,2,8.82
2018,1,Austria,131724,455198,4.9,1.9,8.89
2019,1,Austria,134966,444670,4.8,1.6,8.86
2020,1,Austria,121311,434877,7.2,0.9,8.9
2021,1,Austria,0,480688,6,2.8,8.98
2000,2,Belgium,57295,236897,11.4,2.7,10.24
2001,2,Belgium,65974,236748,11.4,2.4,10.26
2002,2,Belgium,70230,258200,10,1.5,10.31
2003,2,Belgium,68800,318004,12.9,1.5,10.36
2004,2,Belgium,72446,369047,11.6,1.9,10.4
2005,2,Belgium,77411,385927,11,2.5,10.45
2006,2,Belgium,83433,408281,9.4,2.3,10.51
2007,2,Belgium,93387,470978,10.3,1.8,10.59
2008,2,Belgium,106012,517270,8.2,4.5,10.67
2009,2,Belgium,102714,482730,12.8,0,10.75
2010,2,Belgium,116724,481814,18.5,2.3,10.84
2011,2,Belgium,133587,523239,16.7,3.3,11
2012,2,Belgium,116055,496467,15.3,2.6,11.08
2013,2,Belgium,105529,521799,12.9,1.2,11.14
2014,2,Belgium,106345,535529,11.6,0.5,11.18
2015,2,Belgium,128762,462383,10.1,0.6,11.24
2016,2,Belgium,106087,475931,9.5,1.8,11.31
2017,2,Belgium,109167,502587,9.3,2.2,11.35
2018,2,Belgium,119663,543546,9.4,2.3,11.4
2019,2,Belgium,129450,535924,9,1.3,11.46
2020,2,Belgium,101553,524792,13.7,0.4,11.52
2021,2,Belgium,0,594748,10.2,3.2,11.56
2000,3,Denmark,22766,164158,8,2.8,5.33
2001,3,Denmark,24642,164791,9.1,2.3,5.35
2002,3,Denmark,21485,178635,8.5,2.4,5.37
2003,3,Denmark,18385,218097,8.7,2,5.38
2004,3,Denmark,18706,251375,7.9,0.9,5.4
2005,3,Denmark,20146,264467,8.2,1.7,5.41
2006,3,Denmark,23979,282886,7.1,1.8,5.43
2007,3,Denmark,31430,319424,6.5,1.7,5.45
2008,3,Denmark,37018,353359,6,3.6,5.48
2009,3,Denmark,31957,321243,6.8,1,5.51
