year,region,country,migration,gdp ,unemp,inf,pop 
2000,1,Austria,65954,197377.00,11.80,4.50,8.01
2001,1,Austria,74786,197510.00,10.90,4.40,8.04
2002,1,Austria,86144,214243.00,10.00,3.00,8.08
2003,1,Austria,93341,262208.00,9.20,2.70,8.12
2004,1,Austria,104246,301321.00,8.00,2.30,8.17
2005,1,Austria,97995,316267.00,7.30,2.70,8.23
2006,1,Austria,82899,336298.00,6.60,3.60,8.27
2007,1,Austria,91546,389231.00,6.30,2.40,8.30
2008,1,Austria,94368,432005.00,5.90,4.30,8.32
2009,1,Austria,91660,401323.00,5.70,1.80,8.34
2010,1,Austria,96896,392595.00,5.60,2.90,8.36
2011,1,Austria,109921,431609.00,5.40,3.40,8.39
2012,1,Austria,125605,409661.00,5.20,1.70,8.43
2013,1,Austria,135228,430197.00,5.00,2.50,8.48
2014,1,Austria,154260,442699.00,4.90,2.50,8.54
2015,1,Austria,198658,382010.00,5.00,1.50,8.63
2016,1,Austria,158746,395728.00,5.00,1.30,8.74
2017,1,Austria,139329,417114.00,5.00,2.00,8.82
2018,1,Austria,131724,455198.00,4.90,1.90,8.89
2019,1,Austria,134966,444670.00,4.80,1.60,8.86
2020,1,Austria,121311,434877.00,7.20,0.90,8.90
2021,1,Austria,0,480688.00,6.00,2.80,8.98
2000,2,Belgium ,57295,236897.00,11.40,2.70,10.24
2001,2,Belgium ,65974,236748.00,11.40,2.40,10.26
2002,2,Belgium ,70230,258200.00,10.00,1.50,10.31
2003,2,Belgium ,68800,318004.00,12.90,1.50,10.36
2004,2,Belgium ,72446,369047.00,11.60,1.90,10.40
2005,2,Belgium ,77411,385927.00,11.00,2.50,10.45
2006,2,Belgium ,83433,408281.00,9.40,2.30,10.51
2007,2,Belgium ,93387,470978.00,10.30,1.80,10.59
2008,2,Belgium ,106012,517270.00,8.20,4.50,10.67
2009,2,Belgium ,102714,482730.00,12.80,0.00,10.75
2010,2,Belgium ,116724,481814.00,18.50,2.30,10.84
2011,2,Belgium ,133587,523239.00,16.70,3.30,11.00
2012,2,Belgium ,116055,496467.00,15.30,2.60,11.08
2013,2,Belgium ,105529,521799.00,12.90,1.20,11.14
2014,2,Belgium ,106345,535529.00,11.60,0.50,11.18
2015,2,Belgium ,128762,462383.00,10.10,0.60,11.24
2016,2,Belgium ,106087,475931.00,9.50,1.80,11.31
2017,2,Belgium ,109167,502587.00,9.30,2.20,11.35
2018,2,Belgium ,119663,543546.00,9.40,2.30,11.40
2019,2,Belgium ,129450,535924.00,9.00,1.30,11.46
2020,2,Belgium ,101553,524792.00,13.70,0.40,11.52
2021,2,Belgium ,0,594748.00,10.20,3.20,11.56
2000,3,Denmark,22766,164158.00,8.00,2.80,5.33
2001,3,Denmark,24642,164791.00,9.10,2.30,5.35
2002,3,Denmark,21485,178635.00,8.50,2.40,5.37
2003,3,Denmark,18385,218097.00,8.70,2.00,5.38
2004,3,Denmark,18706,251375.00,7.90,0.90,5.40
2005,3,Denmark,20146,264467.00,8.20,1.70,5.41
2006,3,Denmark,23979,282886.00,7.10,1.80,5.43
2007,3,Denmark,31430,319424.00,6.50,1.70,5.45
2008,3,Denmark,37018,353359.00,6.00,3.60,5.48
2009,3,Denmark,31957,321243.00,6.80,1.00,5.51
2010,3,Denmark,33442,321995.00,6.50,2.20,5.54
2011,3,Denmark,34572,344003.00,7.60,2.70,5.56
2012,3,Denmark,35490,327149.00,8.40,2.40,5.58
2013,3,Denmark,41342,343584.00,9.20,0.50,5.60
